Tuberculosis_locus,smegmatis_locus,H37RA_locus,Bovis_locus
0:Rv0001:1-1524,1:MSMEG_RS33460:6986600-6988114,2:MRA_RS00005:1-1524,3:BQ2027_RS00005:1-1524
0:Rv0002:2052-3260,1:MSMEG_RS00005:499-1692,2:MRA_RS00010:2052-3260,3:BQ2027_RS00010:2052-3260
0:Rv0003:3280-4437,1:MSMEG_RS00015:2624-3778,2:MRA_RS00015:3280-4437,3:BQ2027_RS00015:3280-4437
0:Rv0005:5240-7267,1:MSMEG_RS00025:4591-6618,2:MRA_RS00025:5240-7267,3:BQ2027_RS00025:5240-7267
0:Rv3914:4402732-4403082,1:MSMEG_RS33405:6977934-6978266,2:MRA_RS20740:4411177-4411527,3:BQ2027_RS20100:4341104-4341454
0:Rv0006:7302-9818,1:MSMEG_RS00030:6648-9176,2:MRA_RS00030:7302-9818,3:BQ2027_RS00030:7302-9818
0:Rv3915:4403192-4404412,1:MSMEG_RS33410:6978405-6979595,2:MRA_RS20745:4411637-4412857,3:BQ2027_RS20105:4341564-4342784
0:ileT:10887-10960,1:MSMEG_RS00040:10072-10145,2:MRA_RS00040:10887-10960,3:BQ2027_RS00040:10887-10960
0:alaT:11112-11184,1:MSMEG_RS00045:10293-10365,2:MRA_RS00045:11112-11184,3:BQ2027_RS00045:11112-11184
0:Rv3918c:4406488-4407531,1:MSMEG_RS33425:6981747-6982718,2:MRA_RS20760:4414933-4415976,3:BQ2027_RS20120:4344860-4345903
0:Rv0009:12468-13016,1:MSMEG_RS00115:45223-45750,2:MRA_RS00060:12468-13016,3:BQ2027_RS00065:12468-13016
0:Rv3920c:4408334-4408897,1:MSMEG_RS33435:6983492-6984043,2:MRA_RS20770:4416779-4417342,3:BQ2027_RS20130:4346706-4347269
0:Rv0010c:13133-13558,1:MSMEG_RS00120:45854-46261,2:MRA_RS00065:13133-13558,3:BQ2027_RS00075:13133-13557
0:Rv3921c:4408969-4410069,1:MSMEG_RS33440:6984079-6985182,2:MRA_RS20775:4417414-4418514,3:BQ2027_RS20135:4347341-4348441
0:Rv0011c:13714-13995,1:MSMEG_RS00125:46417-46701,2:MRA_RS00080:15072-15353,3:BQ2027_RS00080:13713-13994
0:Rv3922c:4410053-4410415,1:MSMEG_RS33445:6985175-6985522,2:MRA_RS20780:4418498-4418860,3:BQ2027_RS20140:4348425-4348787
0:Rv0012:14089-14877,1:MSMEG_RS00130:46797-47546,2:MRA_RS00085:15492-16235,3:BQ2027_RS00085:14133-14876
0:Rv3923c:4410412-4410789,1:MSMEG_RS33450:6985519-6985911,2:MRA_RS20785:4418857-4419207,3:BQ2027_RS20145:4348784-4349134
0:Rv0013:14914-15612,1:MSMEG_RS00135:47564-48238,2:MRA_RS00090:16272-16970,3:BQ2027_RS00090:14913-15611
0:Rv3924c:4410786-4410929,1:MSMEG_RS33455:6985943-6986086,2:MRA_RS20790:4419231-4419374,3:BQ2027_RS20150:4349158-4349301
0:Rv0014c:15590-17470,1:MSMEG_RS00140:48216-50093,2:MRA_RS00095:16948-18828,3:BQ2027_RS00095:15589-17469
0:Rv0015c:17467-18762,1:MSMEG_RS00145:50090-51349,2:MRA_RS00100:18825-20120,3:BQ2027_RS00100:17466-18761
0:Rv0016c:18759-20234,1:MSMEG_RS00150:51381-52856,2:MRA_RS00105:20117-21592,3:BQ2027_RS00105:18758-20233
0:Rv0017c:20231-21640,1:MSMEG_RS00155:52853-54268,2:MRA_RS00110:21589-22998,3:BQ2027_RS00110:20230-21639
0:Rv0018c:21637-23181,1:MSMEG_RS00160:54265-55803,2:MRA_RS00115:22995-24530,3:BQ2027_RS00115:21636-23171
0:Rv0019c:23270-23737,1:MSMEG_RS00165:55826-56293,2:MRA_RS00120:24628-25095,3:BQ2027_RS00120:23269-23736
0:leuT:25644-25726,1:MSMEG_RS00175:58144-58226,2:MRA_RS00130:27002-27084,3:BQ2027_RS00130:25625-25707
